Customer ID,Region,Date Joined,Balance
100000001,England,01/05/15,113810.15
400000002,Northern Ireland,01/06/15,36919.73
100000003,England,01/07/15,101536.83
300000004,Wales,01/08/15,1421.52
100000005,England,01/09/15,35639.79
300000006,Wales,01/09/15,122443.77
100000007,England,01/11/15,42879.84
200000008,Scotland,01/11/15,36680.17
300000009,Wales,01/11/15,74284.35
100000010,England,01/12/15,10912.45
100000011,England,01/12/15,39667.83
100000012,England,01/12/15,32281.62
100000013,England,01/12/15,40781.63
200000014,Scotland,01/12/15,48791.46
300000015,Wales,01/12/15,2846.03
100000016,England,1/14/2015,2116.85
200000017,Scotland,1/14/2015,10356.31
200000018,Scotland,1/14/2015,3801.69
100000019,England,1/15/2015,65534.69
100000020,England,1/15/2015,11462.64
300000021,Wales,1/16/2015,31778.9
200000022,Scotland,1/18/2015,21252.97
300000023,Wales,1/18/2015,66785.78
200000024,Scotland,1/19/2015,6580.81
100000025,England,1/20/2015,20505.32
200000026,Scotland,1/21/2015,43249.26
400000027,Northern Ireland,1/23/2015,3967.2
100000028,England,1/25/2015,3428.56
200000029,Scotland,1/25/2015,20516.1
100000030,England,1/27/2015,10813.83
100000031,England,1/28/2015,38889.76
300000032,Wales,1/28/2015,14094.01
200000033,Scotland,1/29/2015,25865.2
100000034,England,1/30/2015,5833.62
100000035,England,1/31/2015,77809.59
100000036,England,1/31/2015,31680.67
100000037,England,1/31/2015,20504.37
100000038,England,1/31/2015,5688.36
200000039,Scotland,1/31/2015,12848.59
200000040,Scotland,1/31/2015,114456.23
100000041,England,02/01/15,51412.6
100000042,England,02/01/15,9695.7
200000043,Scotland,02/01/15,114021.21
400000044,Northern Ireland,02/01/15,107728.07
100000045,England,02/03/15,2893.19
200000046,Scotland,02/03/15,54589.61
200000047,Scotland,02/03/15,59501.63
400000048,Northern Ireland,02/08/15,14337.82
100000049,England,02/12/15,23921.89
100000050,England,02/12/15,39034.14
100000051,England,02/12/15,1401.43
100000052,England,02/12/15,41626.25
100000053,England,02/12/15,47551.7
100000054,England,02/12/15,24187.98
100000055,England,02/12/15,4912.21
100000056,England,02/12/15,58391.45
100000057,England,02/12/15,58033.89
100000058,England,02/12/15,35831.2
100000059,England,02/12/15,1879.85
100000060,England,02/12/15,23375.57
100000061,England,02/12/15,4586.23
100000062,England,02/12/15,20336.8
100000063,England,02/12/15,22414.93
100000064,England,02/12/15,40305.24
200000065,Scotland,02/12/15,18091.36
200000066,Scotland,02/12/15,20076.8
200000067,Scotland,02/12/15,5300.47
200000068,Scotland,02/12/15,7162.43
200000069,Scotland,02/12/15,35751.37
200000070,Scotland,02/12/15,15013.76
200000071,Scotland,02/12/15,70041.44
200000072,Scotland,02/12/15,35937.38
300000073,Wales,02/12/15,41442.1
300000074,Wales,02/12/15,36696.92
400000075,Northern Ireland,02/12/15,21.03
200000076,Scotland,2/24/2015,58237.65
100000077,England,03/09/15,28509.46
100000078,England,03/10/15,38715.45
300000079,Wales,3/15/2015,7370.52
100000080,England,3/16/2015,245.46
100000081,England,3/16/2015,59935.75
100000082,England,3/16/2015,11624.36
100000083,England,3/16/2015,9346.66
100000084,England,3/16/2015,43770.37
100000085,England,3/16/2015,63642.19
100000086,England,3/16/2015,22831.08
100000087,England,3/16/2015,4846.57
100000088,England,3/16/2015,71571.52
100000089,England,3/16/2015,42409.89
100000090,England,3/16/2015,4194.57
100000091,England,3/16/2015,75613.68
100000092,England,3/16/2015,28587.08
100000093,England,3/16/2015,14699.05
100000094,England,3/16/2015,44034.26
100000095,England,3/16/2015,55046.35
100000096,England,3/16/2015,67479.01
100000097,England,3/16/2015,61890.85
100000098,England,3/16/2015,1430.6
200000099,Scotland,3/16/2015,5456.86
200000100,Scotland,3/16/2015,13251.27
200000101,Scotland,3/16/2015,119014.87
200000102,Scotland,3/16/2015,18829.79
200000103,Scotland,3/16/2015,35939.04
200000104,Scotland,3/16/2015,22686
200000105,Scotland,3/16/2015,85108.08
200000106,Scotland,3/16/2015,44973.03
200000107,Scotland,3/16/2015,12616.44
200000108,Scotland,3/16/2015,23910.87
200000109,Scotland,3/16/2015,73461.71
200000110,Scotland,3/16/2015,26474.23
300000111,Wales,3/16/2015,70799.64
300000112,Wales,3/16/2015,20627.65
400000113,Northern Ireland,3/16/2015,82229.52
400000114,Northern Ireland,3/16/2015,51171.29
400000115,Northern Ireland,3/16/2015,37889.38
100000116,England,3/19/2015,21806.3
100000117,England,3/25/2015,12415.5
200000118,Scotland,3/28/2015,67682.92
100000119,England,3/31/2015,33524.41
100000120,England,3/31/2015,136370.38
100000121,England,3/31/2015,39159.35
100000122,England,3/31/2015,3738.1
100000123,England,3/31/2015,43234.21
100000124,England,04/01/15,111149.47
100000125,England,04/01/15,12312.49
100000126,England,04/01/15,55661.5
100000127,England,04/01/15,10481.48
